order_id,region,product,units,unit_price
1000,East,kettle,7,63.82
1001,North,blender,2,42.43
1002,North,blender,4,17.81
1003,West,toaster,2,33.05
1004,West,kettle,10,24.29
1005,South,blender,11,58.72
1006,North,blender,10,44.75
1007,South,kettle,9,79.39
1008,East,toaster,3,55.55
1009,East,blender,11,28.55
1010,South,toaster,2,56.08
1011,North,blender,1,61.43
1012,West,blender,9,47.07
1013,East,toaster,10,84.26
1014,East,toaster,4,74.58
1015,South,kettle,10,37.52
1016,West,toaster,12,48.66
1017,North,kettle,9,46.36
1018,East,kettle,8,46.63
1019,North,blender,10,74.18
1020,East,toaster,12,41.26
1021,West,blender,8,20.16
1022,North,toaster,8,67.28
1023,North,kettle,12,67.61
1024,West,toaster,12,43.93
1025,East,kettle,8,41.66
1026,North,toaster,1,31.37
1027,East,kettle,12,33.57
1028,West,toaster,2,27.48
1029,West,blender,5,81.25
1030,West,blender,5,67.98
1031,East,blender,7,86.83
1032,South,kettle,3,26.35
1033,South,kettle,8,77.33
1034,South,toaster,5,15.31
1035,West,blender,6,60.74
1036,East,kettle,12,79.44
1037,North,toaster,11,74.84
1038,West,toaster,7,44.56
1039,West,blender,7,19.67
