respondent,age,hours_coding_per_week,employed
1,22,13,no
2,28,7,no
3,56,3,yes
4,18,36,yes
5,52,6,no
6,57,1,yes
7,31,39,no
8,27,40,no
9,40,38,no
10,48,7,yes
11,49,29,no
12,48,19,yes
13,27,6,no
14,65,16,no
15,62,10,yes
16,31,33,no
17,27,34,yes
18,51,19,yes
19,62,16,no
20,28,22,yes
21,52,34,no
22,58,14,yes
23,33,25,yes
24,30,33,no
25,40,1,yes
26,35,30,no
27,30,38,no
28,46,22,no
29,23,14,yes
30,32,30,yes
31,39,13,no
32,57,39,yes
33,48,22,yes
34,60,7,no
35,63,12,no
36,29,27,no
37,23,25,no
38,43,5,yes
39,28,8,yes
40,27,37,no
41,59,9,no
42,60,22,yes
43,53,35,yes
44,19,0,yes
45,51,8,no
46,30,13,yes
47,34,13,no
48,50,15,no
49,34,34,no
50,26,3,no
51,47,37,no
52,50,8,yes
53,51,32,yes
54,46,11,yes
55,27,11,yes
56,48,39,yes
57,53,3,no
58,61,33,no
59,24,35,yes
60,33,12,no
